Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5c.KillerID_Company_User_CrossSession,Chrome 149.0.7827.114,Sprint 4c - KillerID_User CrossSession scenarios. Phase 1+2 (10 cases). Execution order designed for state isolation: PW rotation (C10064/65/66) first → demo3 login cases (C10068/72) while demo3 is fresh → dual-session (C10063) → admin-only/fake-user (C10071/60/61) → C10062 LAST (force-logout 5min block 회피). C10062 must remain last because its 5-min force-logout window blocks subsequent demo3 logins.,,15-06-2026 10:14:19,15-06-2026 10:21:59,7m - 39.154s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10064_도메인 사용자 비밀번호 재설정,Chrome 149.0.7827.114,"[C10064] Reset the domain user(s) password
Role: Admin
Section: KillerID/User/Bulk Actions

📋 사전 조건:
- Admin 계정 으로 로그인 됨

🧪 단계:
1. User 탭 이동
2. 1명 이상 의 user 체크
3. 'Reset Password' 버튼 클릭
4. New Password 입력
5. Confirm New Password 입력
6. Save 클릭

✅ 결과값:
- 'Password Updated Successfully' alert 표시
- 선택된 user 의 password 변경 됨",,15-06-2026 10:14:20,15-06-2026 10:14:54,34.535s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,15-06-2026 10:14:20,15-06-2026 10:14:20,0.004s,PASSED
"OLD_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 10:14:20,15-06-2026 10:14:20,0.003s,PASSED
"NEW_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 10:14:20,15-06-2026 10:14:20,0.001s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 10:14:20,15-06-2026 10:14:53,32.799s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 10:14:53,15-06-2026 10:14:53,0.133s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 10:14:53,15-06-2026 10:14:53,0.011s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 10:14:53,15-06-2026 10:14:54,1.004s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10065_이전 비밀번호로 로그인 시도,Chrome 149.0.7827.114,"[C10065] Login as a domain user with an old password
Role: Domain User
Section: KillerID/User/Bulk Actions

📋 사전 조건:
- Admin 이 해당 user 의 password 를 변경 함 (C10064 결과)

🧪 단계:
1. KillerID 로그인 페이지 진입 (id.netkiller.com)
2. OLD credentials (이전 password) 로 로그인 시도

✅ 결과값:
- 'Bad Credentials' 메시지 표시
- 로그인 실패 (User is not logged in)",,15-06-2026 10:14:54,15-06-2026 10:15:07,12.415s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,15-06-2026 10:14:54,15-06-2026 10:14:54,0.003s,PASSED
"OLD_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 10:14:54,15-06-2026 10:14:54,0.003s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 10:14:54,15-06-2026 10:15:06,11.618s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 10:15:06,15-06-2026 10:15:06,0.093s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 10:15:06,15-06-2026 10:15:06,0.004s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 10:15:06,15-06-2026 10:15:07,0.592s,PASSED
,,,,,,,
