Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5d.KillerID_Company_User_ProfileEdit,Chrome 149.0.7827.114,Sprint 4d - KillerID_User Profile Edit + PW Verification 5 cases (C10073~C10077). demo3 본인 profile 의 Edit 진입 + PW 검증 + session cache + 5회 lockout. C10077 destructive (demo3 자동 로그아웃) 마지막 — cool-down 가능.,,15-06-2026 11:19:12,15-06-2026 11:23:42,4m - 30.010s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10073_프로필 Edit 진입 (세션 첫 회) 비밀번호 검증,Chrome 149.0.7827.114,"[C10073] Enter the Profile Edit mode (1st time within a session)
Role: Domain User
Section: KillerID/User Profile

📋 사전 조건:
- Domain user (demo3) 로그인 가능 한 상태

🧪 단계:
1. id.netkiller.com 진입 + Profile 로 로그인
2. Edit 버튼 클릭 → Password Verification popup 등장 (C10072 결과)
3. 현재 user 의 password 입력
4. 'Check' 버튼 클릭

✅ 결과값:
- The Profile Edit mode is opened (Profile 의 Edit 모드 진입)
- Edit 가능한 필드들 표시 + 'Save' / 'Cancel' 버튼 visible

🔧 자동화 노트:
- spec 6.1: 첫 회 검증 → PW 입력 → Edit mode 진입
- spy: input_Enter Password / button_Check (이미 등록)
- Verify: Edit mode 진입 후 General 탭 의 Save 버튼 visible 또는 input field editable",,15-06-2026 11:19:12,15-06-2026 11:19:51,39.434s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,15-06-2026 11:19:12,15-06-2026 11:19:12,0.005s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 11:19:12,15-06-2026 11:19:12,0.002s,PASSED
"DEMO3_ENCRYPTED_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 11:19:12,15-06-2026 11:19:12,0.004s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 11:19:12,15-06-2026 11:19:49,36.966s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 11:19:49,15-06-2026 11:19:49,0.118s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 11:19:49,15-06-2026 11:19:49,0.008s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 11:19:49,15-06-2026 11:19:51,1.892s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10074_프로필 Edit 진입 (세션 두 번째) 검증 면제,Chrome 149.0.7827.114,"[C10074] Enter the Profile Edit mode (2nd time within a session)
Role: Domain User
Section: KillerID/User Profile

📋 사전 조건:
- demo3 로 로그인 됨 + 같은 세션 에서 이미 한 번 PW 검증 완료 (C10073 결과)

🧪 단계:
1. (이미 PW 검증 완료 된 세션 에서) Edit 버튼 을 어떤 탭 에서 든 다시 클릭

✅ 결과값:
- The Profile Edit mode is opened without Password Verification
  (PW Verification popup 안 뜨고 바로 Edit mode 진입)

🔧 자동화 노트:
- spec 6.1 의 핵심: 같은 세션 내 2번째 부터 PW 검증 생략 (session cache)
- C10073 직후 같은 .groovy 안 에서 sequential 실행
- Verify: Edit click 후 popup 안 뜨고 즉시 Edit mode 진입
  (input_Enter Password spy 가 NOT visible 인지 확인 — negative verify)",,15-06-2026 11:19:51,15-06-2026 11:20:49,57.562s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,15-06-2026 11:19:51,15-06-2026 11:19:51,0.001s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 11:19:51,15-06-2026 11:19:51,0.000s,PASSED
"DEMO3_ENCRYPTED_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 11:19:51,15-06-2026 11:19:51,0.000s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 11:19:51,15-06-2026 11:20:48,56.384s,FAILED
Finally,Chrome 149.0.7827.114,,,15-06-2026 11:20:48,15-06-2026 11:20:48,0.096s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 11:20:48,15-06-2026 11:20:48,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 11:20:48,15-06-2026 11:20:49,0.833s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10075_프로필 Edit 진입 (새 세션) 검증 재요구,Chrome 149.0.7827.114,"[C10075] Enter the Profile Edit mode (new session)
Role: Domain User
Section: KillerID/User Profile

📋 사전 조건:
- demo3 로 로그인 + PW 검증 완료 된 세션 (C10073 / C10074 결과)

🧪 단계:
1. header 의 Profile 버튼 클릭 → 메뉴 펼침
2. Logout 클릭 → 로그아웃 됨
3. 다시 demo3 로 Profile 로그인
4. 어떤 탭 에서 든 Edit 버튼 클릭

✅ 결과값:
- The Password Verification popup is displayed (재검증 popup 등장)
- The Edit mode is not opened until the password is not verified

🔧 자동화 노트:
- spec 6.1 의 보충: 새 세션 = 재검증 필요 (session invalidation)
- closeBrowser → demo3 다시 login → Edit click → popup 검증
- Verify: input_Enter Password spy visible == true",,15-06-2026 11:20:49,15-06-2026 11:21:52,1m - 3.167s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,15-06-2026 11:20:49,15-06-2026 11:20:49,0.001s,PASSED
