Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5e.KillerID_Company_User_ProfileGeneral,Chrome 149.0.7827.114,"Sprint 5a - KillerID_User Profile General tab 7 cases (C10078~C10084). demo3 의 General tab Edit form (Language / Time Zone / Weekly Schedule / Daily Hours) 설정 + 검증. State-changing cases (79/80/82/83) 는 각각 4-Phase teardown 으로 default 원복. C10081 (verify-only), C10084 (SAFE — Cancel cleanup).",,16-06-2026 08:01:01,16-06-2026 08:10:03,9m - 1.888s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10078_프로필 General 탭 Edit 모드 진입,Chrome 149.0.7827.114,"[C10078] Enter the Edit mode on the General tab
Role: Domain User
Section: KillerID/User Profile

📋 사전 조건:
- demo3 로 로그인 + PW 검증 완료 된 세션 (C10073 결과)

🧪 단계:
1. KillerID Profile 의 General tab 으로 이동
2. 'Edit' 버튼 클릭

✅ 결과값:
- General tab Edit mode 진입
- 편집 가능 필드: Language / Time Zone / Weekly Schedule / Daily Hours
- 편집 불가 필드: Name / Company / Department / Degree / Job Title

🔧 자동화 노트:
- precondition setup: loginAsDomainUserViaProfile + 1차 Edit click + PW 검증 (encrypted PW = admin 과 동일)
- General tab 은 default — Profile 로그인 직후 active
- Edit 버튼 spy = KillerID_user_profile_user/Page_demo.netkillersoft.com/a_Edit (재사용)
- Verify: Language / Time Zone dropdown 등 visible (editable fields), Name / Department 는 disabled 또는 textOnly (non-editable)",,16-06-2026 08:01:01,16-06-2026 08:01:42,40.594s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,16-06-2026 08:01:01,16-06-2026 08:01:01,0.004s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 08:01:01,16-06-2026 08:01:01,0.002s,PASSED
"DEMO3_ENCRYPTED_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 08:01:01,16-06-2026 08:01:01,0.002s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 08:01:01,16-06-2026 08:01:40,38.605s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 08:01:40,16-06-2026 08:01:40,0.144s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 08:01:40,16-06-2026 08:01:40,0.006s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 08:01:40,16-06-2026 08:01:42,1.337s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10079_언어 를 한국어 로 변경,Chrome 149.0.7827.114,"[C10079] Change the Language to Korean
Role: Domain User
Section: KillerID/User Profile

📋 사전 조건:
- demo3 로 로그인 + PW 검증 완료
- General tab Edit mode 진입 (C10078 결과)

🧪 단계:
1. General tab 으로 이동
2. Edit 모드 진입
3. Language dropdown 확장
4. 'Korean' (한국어) 선택
5. Save 클릭

✅ 결과값:
- KillerID UI 가 한국어 로 번역 됨
- 메뉴 / 버튼 / label 등 한글 표시

🔧 자동화 노트:
- ⚠️ state-changing 케이스 — 4-Phase teardown 필수 (Language → English 원복)
- baseline: Language = English (default)
- Language dropdown spy 필요 (Gate 3 에서 캡처 요청)
- Korean 옵션 선택 후 Save → 페이지 자동 reload 가능 (re-render)
- Verify: 페이지 일부 텍스트 가 영문 에서 한글 로 변화 확인 (예: 'Edit' → '편집', 'Save' → '저장')
- Teardown: Edit mode → Language dropdown → 'English' 선택 → Save (원복)",,16-06-2026 08:01:42,16-06-2026 08:03:22,1m - 40.686s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,16-06-2026 08:01:42,16-06-2026 08:01:42,0.001s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 08:01:42,16-06-2026 08:01:42,0.001s,PASSED
"DEMO3_ENCRYPTED_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 08:01:42,16-06-2026 08:01:42,0.001s,PASSED
stateChangedByTest = false,Chrome 149.0.7827.114,,,16-06-2026 08:01:42,16-06-2026 08:01:42,0.001s,PASSED
mainTestError = null,Chrome 149.0.7827.114,,,16-06-2026 08:01:42,16-06-2026 08:01:42,0.001s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 08:01:42,16-06-2026 08:03:21,1m - 38.514s,FAILED
