Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5j.KillerID_Company_User_2SV,Chrome 149.0.7827.114,Sprint 5f - KillerID_User Profile/2SV 자동화 가능 3 cases (C10099/C10104/C10117). 19 cases 중 13 cases (OTP/FIDO/SMS/프린트/2SV 로그인 등) 는 자동화 불가 — manual-only 분류. 각 case self-contained (setup ON + main + teardown OFF — demo5 항상 OFF 로 종료). state-changing 최고 위험 (Rule #6) — loading-bg 대기 + Edit 모드 재진입 시 password popup skip 패턴 적용.,,16-06-2026 08:23:03,16-06-2026 08:28:09,5m - 6.282s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10099_2SV 토글 온 메소드 미설정,Chrome 149.0.7827.114,"[C10099] Toggle on the 2SV with no methods set
Role: Domain User (demo3)
Section: KillerID/User Profile/2SV

📋 사전 조건:
- 회사(Company) 2SV = OFF (사용자 직접 2SV 토글 가능 조건 — spec 6.5)
- demo3 2SV = OFF (no methods set)
- demo3 로 Profile 모드 로그인

🧪 단계:
1. demo3 Profile 로그인
2. Security 탭 진입
3. 2SV 토글 ON (method 미설정 상태)

✅ 결과값:
- '2SV Authentication Code Setup form' 표시
  (method 없이 토글 ON 시 Authenticator Code 설정 form 이 기본 노출)

🔧 자동화 노트:
- 🚨 STATE-CHANGING: demo3 2SV 토글 ON
- ⚠️ MANDATORY Teardown: 2SV 토글 OFF 복원 (회사 2SV OFF 전제 — spec 6.5)
  → teardown 누락 시 demo3 후속 로그인 이 2SV setup form 으로 막힘 (STATE_TEARDOWN_GUARANTEE 치명적)
- Verify: setup form 의 'Authenticator' / 'Authentication Code' / 'Setup' keyword + QR/secret 영역 표시
- Spy 필요 (Gate 3): Security 탭 2SV 토글, Authenticator setup form. 또는 JS 우회.
- Rule #15 안전: regex 없음, indexOf/=== 만 사용",,16-06-2026 08:23:03,16-06-2026 08:24:43,1m - 39.667s,PASSED
"TARGET_EMAIL = ""demo5@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,16-06-2026 08:23:04,16-06-2026 08:23:04,0.002s,PASSED
"TARGET_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 08:23:04,16-06-2026 08:23:04,0.002s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.114,,,16-06-2026 08:23:04,16-06-2026 08:23:04,0.010s,PASSED
waitForLoadingHidden = { int maxSec -> ... },Chrome 149.0.7827.114,,,16-06-2026 08:23:04,16-06-2026 08:23:04,0.005s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 08:23:04,16-06-2026 08:24:41,1m - 37.896s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 08:24:41,16-06-2026 08:24:42,0.129s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 08:24:42,16-06-2026 08:24:42,0.004s,PASSED
