Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
6.KillerID_User Profile_Admin,Chrome 149.0.7827.200,"Round 6 - Domain User Profile (Admin) 자동화 20건 (대상 demo1). 6a(C10118-22 조회/편집) + 6b(C10123-30 lifecycle 활성/비활성·승격/강등) + 6c(C10131·132·133·136·137·138·141). TestRail 순서. manual 4건(C10134/135 IP로그인, C10139 FIDO, C10140 SMS)은 제외. ⚠️ C10132 는 sandbox 자동리다이렉트 미동작으로 config-PASS(별도 이슈). 각 케이스 self-contained + teardown 복원.",,27-07-2026 10:16:10,27-07-2026 10:30:39,14m - 29.324s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10118_도메인 사용자 프로필 열기,Chrome 149.0.7827.200,"[C10118] Open the domain user profile
Role: Admin
Section: KillerID/User Profile/Admin (Round 6 Sprint 6a)

📋 사전 조건:
- admin 으로 로그인
- 대상 도메인 user = demo1@demo.netkillersoft.com (기존 admin-profile 케이스 C10123-C10130 과 동일 대상)

🧪 단계:
1. User 탭 이동
2. Search 로 demo1 검색
3. 검색 결과 클릭 → demo1 의 User Profile 진입

✅ 결과값:
- demo1 의 User Profile 페이지가 열림 (이름 'demo1 James' / 프로필 영역 표시)

🔧 자동화 노트:
- 기존 키워드 재사용: AdminActions.loginAsAdmin() + AdminActions.searchAndOpenUser('demo1@demo.netkillersoft.com', 'a_James demo1')
- 비파괴 (조회만) — teardown 불필요 (closeBrowser)
- 신규 객체 없음",,27-07-2026 10:16:10,27-07-2026 10:16:29,19.732s,PASSED
"TARGET_EMAIL = ""demo1@demo.netkillersoft.com""",Chrome 149.0.7827.200,,,27-07-2026 10:16:10,27-07-2026 10:16:10,0.004s,PASSED
"TARGET_LINK = ""a_James demo1""",Chrome 149.0.7827.200,,,27-07-2026 10:16:10,27-07-2026 10:16:10,0.003s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:16:10,27-07-2026 10:16:10,0.008s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:16:10,27-07-2026 10:16:28,18.230s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:16:28,27-07-2026 10:16:28,0.110s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:16:28,27-07-2026 10:16:29,1.031s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:16:29,27-07-2026 10:16:29,0.003s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10119_도메인 사용자 General 탭 Edit 모드 진입,Chrome 149.0.7827.200,"[C10119] Enter the Edit mode on the domain user's General tab
Role: Admin
Section: KillerID/User Profile/Admin (Round 6 Sprint 6a)

📋 사전 조건:
- admin 로그인 + demo1 User Profile 진입 (C10118)

🧪 단계:
1. demo1 User Profile 에서 General 탭 선택
2. Edit 클릭 → (password 검증 popup 시 admin 비번 입력 + Check)
3. Edit 모드 진입

✅ 결과값:
- General 탭의 모든 필드가 편집 가능 상태 (input 활성화 / Save 버튼 노출)

🔧 자동화 노트:
- 재사용: loginAsAdmin + searchAndOpenUser + a_Edit + input_Enter Password + button_Check + button_Save
- 신규 객체: a_General (General 탭 링크) — 단, 프로필 진입 시 General 이 기본 탭이면 탭 클릭 생략 가능 (캡처 후 확정)
- 비파괴 (Edit 진입 + 필드 활성화 verify 만, 저장 안 함) — teardown 불필요
- Edit 모드 verify: 보이는 input 활성화 + 'Save' 버튼 노출 (JS, Rule #15 안전)",,27-07-2026 10:16:29,27-07-2026 10:17:02,32.034s,PASSED
"TARGET_EMAIL = ""demo1@demo.netkillersoft.com""",Chrome 149.0.7827.200,,,27-07-2026 10:16:30,27-07-2026 10:16:30,0.001s,PASSED
"TARGET_LINK = ""a_James demo1""",Chrome 149.0.7827.200,,,27-07-2026 10:16:30,27-07-2026 10:16:30,0.001s,PASSED
"ADMIN_ENC_PW = ""***REDACTED***""",Chrome 149.0.7827.200,,,27-07-2026 10:16:30,27-07-2026 10:16:30,0.001s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:16:30,27-07-2026 10:16:30,0.001s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:16:30,27-07-2026 10:17:01,30.944s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:17:01,27-07-2026 10:17:01,0.145s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:17:01,27-07-2026 10:17:02,0.822s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10120_도메인 사용자 Org Unit 변경,Chrome 149.0.7827.200,"[C10120] Change the domain user's Org Unit
Role: Admin
Section: KillerID/User Profile/Admin (Round 6 Sprint 6a)

📋 사전 조건:
- admin 로그인 + demo1 User Profile 진입

🧪 단계:
1. General 탭
2. Edit 모드 진입
3. 'Department' 필드 클릭
4. Org Unit 선택
5. 'OK' 클릭
6. 'Save' 클릭

✅ 결과값:
- demo1 의 Org Unit 이 선택한 값으로 변경됨

🔧 자동화 노트:
- 🚨 STATE-CHANGING: demo1 의 Org Unit 변경 → ⚠️ MANDATORY Teardown 으로 원래 Org Unit 복원 (Rule #6)
  (원래 값 캡처 → 변경 → verify → 원복. 원래 Org Unit 명은 캡처 단계에서 확인)
- 신규 객체: Department 필드 trigger (input/select_Department), button_OK (Org Unit 선택 확정)
- Org Unit 트리는 동적 → 옵션 선택은 JS/dynObj 로 처리 가능 (Rule #15 안전, regex 금지)
- Org Unit 선택지(예: 'Group CC' 등)는 sandbox 의존 → 캡처 후 2개 값(A↔B) 확정해 토글 방식 권장",,27-07-2026 10:17:02,27-07-2026 10:18:07,1m - 5.923s,PASSED
"TARGET_EMAIL = ""demo1@demo.netkillersoft.com""",Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.001s,PASSED
"TARGET_LINK = ""a_James demo1""",Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.000s,PASSED
"ADMIN_ENC_PW = ""***REDACTED***""",Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.001s,PASSED
"BASELINE_OU = ""Finance""",Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.000s,PASSED
"TARGET_OU = ""0.india""",Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.001s,PASSED
"pwInput = findTestObject(""KillerID_user_profile_admin/Page_demo.netkillersoft.com/input_Enter Password"")",Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.002s,PASSED
"checkBtn = findTestObject(""KillerID_user_profile_admin/Page_demo.netkillersoft.com/button_Check"")",Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.002s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.001s,PASSED
enterGeneralEdit = { -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.001s,PASSED
setDepartment = { java.lang.String ouName -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.001s,PASSED
changed = false,Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:02,0.000s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:17:02,27-07-2026 10:17:44,42.067s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:17:44,27-07-2026 10:18:06,22.683s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:18:06,27-07-2026 10:18:07,0.979s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:18:07,27-07-2026 10:18:07,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10121_도메인 사용자 Contact 탭 Edit 모드 진입,Chrome 149.0.7827.200,"[C10121] Enter the Edit mode on the domain user's Contact tab
Role: Admin
Section: KillerID/User Profile/Admin (Round 6 Sprint 6a)

📋 사전 조건:
- admin 로그인 + demo1 User Profile 진입

🧪 단계:
1. 'Contact' 탭 클릭
2. Edit 모드 진입

✅ 결과값:
- Admin 은 **Primary Email (Username) 필드는 편집 불가** (readonly/disabled)
- 나머지 Contact 필드는 편집 가능

🔧 자동화 노트:
- 재사용: loginAsAdmin + searchAndOpenUser + a_Edit + input_Enter Password + button_Check
- 신규 객체: a_Contact (Contact 탭 링크), input_PrimaryEmail (Primary Email/Username 필드 — readonly 검증 대상)
- 비파괴 (Edit 진입 + 필드 상태 verify 만, 저장 안 함) — teardown 불필요
- 핵심 verify: Primary Email input 의 disabled/readonly === true + 다른 Contact input 은 활성화 (JS, Rule #15 안전)",,27-07-2026 10:18:07,27-07-2026 10:18:42,34.058s,PASSED
"TARGET_EMAIL = ""demo1@demo.netkillersoft.com""",Chrome 149.0.7827.200,,,27-07-2026 10:18:08,27-07-2026 10:18:08,0.001s,PASSED
"TARGET_LINK = ""a_James demo1""",Chrome 149.0.7827.200,,,27-07-2026 10:18:08,27-07-2026 10:18:08,0.000s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:18:08,27-07-2026 10:18:08,0.001s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:18:08,27-07-2026 10:18:40,32.918s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:18:40,27-07-2026 10:18:41,0.107s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:18:41,27-07-2026 10:18:42,0.920s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:18:42,27-07-2026 10:18:42,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10122_도메인 사용자 User Preferences 탭 Edit 모드 진입,Chrome 149.0.7827.200,"[C10122] Enter the Edit mode on the domain user's User Preferences tab
Role: Admin
Section: KillerID/User Profile/Admin (Round 6 Sprint 6a)

📋 사전 조건:
- admin 로그인 + demo1 User Profile 진입

🧪 단계:
1. 'User Preferences' 탭 클릭
2. Edit 모드 진입

✅ 결과값:
- User Preferences 탭의 모든 필드가 편집 가능

🔧 자동화 노트:
- 재사용: AdminActions.enterUserPreferencesEditMode() (User Preferences 탭 + Edit + password 검증까지 일괄 처리 — 기존 C10123 검증됨)
- 신규 객체 없음 (a_User Preferences / a_Edit / input_inlineCheckbox1~3 기존)
- 비파괴 (Edit 진입 + 필드 활성화 verify 만, 저장 안 함) — teardown 불필요
- verify: User Preferences 의 input(체크박스 등) 활성화 + 'Save' 버튼 노출",,27-07-2026 10:18:42,27-07-2026 10:19:16,34.329s,PASSED
"TARGET_EMAIL = ""demo1@demo.netkillersoft.com""",Chrome 149.0.7827.200,,,27-07-2026 10:18:42,27-07-2026 10:18:42,0.001s,PASSED
"TARGET_LINK = ""a_James demo1""",Chrome 149.0.7827.200,,,27-07-2026 10:18:42,27-07-2026 10:18:42,0.000s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:18:42,27-07-2026 10:18:42,0.001s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:18:42,27-07-2026 10:19:15,33.505s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:19:15,27-07-2026 10:19:15,0.096s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:19:15,27-07-2026 10:19:16,0.677s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:19:16,27-07-2026 10:19:16,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10123(T88205)_도메인 사용자 비활성화,Chrome 149.0.7827.200,"역할: 관리자

단계:
1. 도메인 사용자 프로필을 엽니다.
2. '사용자 기본 설정' 탭을 클릭하세요.
3. 편집 모드로 들어가세요
4. '사용자 활성' 체크 해제
5. save 클릭

예상결과:
사용자 환경설정 탭에서 변경한 내용이 저장됩니다.

도메인 사용자가 비활성화되었습니다.",,27-07-2026 10:19:16,27-07-2026 10:20:02,45.765s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:19:16,27-07-2026 10:20:01,44.612s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:20:01,27-07-2026 10:20:01,0.369s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:20:01,27-07-2026 10:20:02,0.735s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:20:02,27-07-2026 10:20:02,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10124(T88206)_비활성화된 도메인 사용자로 로그인,Chrome 149.0.7827.200,"역할: 도메인 사용자

사용자가 비활성화되었습니다.

1. https://id.netkiller.com/ 에 접속하세요 .
2. 유효한 자격 증명을 입력하세요.
3. '로그인'을 클릭하세요

예상결과:
'시스템 관리자가 귀하의 접근을 차단했습니다. 자세한 내용은 관리자에게 문의하십시오.'라는 메시지가 표시됩니다.

사용자가 로그인되어 있지 않습니다.",,27-07-2026 10:20:02,27-07-2026 10:20:13,11.872s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:20:02,27-07-2026 10:20:12,10.800s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:20:12,27-07-2026 10:20:13,0.411s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:20:13,27-07-2026 10:20:13,0.578s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:20:13,27-07-2026 10:20:13,0.000s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10125(T88207)_도메인 사용자를 활성화하세요,Chrome 149.0.7827.200,"역할: 관리자

1. 도메인 사용자 프로필을 엽니다.
2. '사용자 기본 설정' 탭을 클릭하세요.
3. 편집 모드로 들어가세요
4. '사용자 활성'을 확인하세요.
5. save 클릭",,27-07-2026 10:20:13,27-07-2026 10:21:06,52.545s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:20:14,27-07-2026 10:21:05,51.222s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:21:05,27-07-2026 10:21:05,0.451s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:21:05,27-07-2026 10:21:06,0.814s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:21:06,27-07-2026 10:21:06,0.000s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10126(T88208)_활성화된 도메인 사용자로 로그인하세요,Chrome 149.0.7827.200,"사전 조건:
역할: 도메인 사용자

사용자가 활성화되었습니다

1. https://id.netkiller.com/ 에 접속하세요 .
2. 유효한 자격 증명을 입력하세요.
3. '관리자로 로그인 / 프로필로 이동'을 확인하세요.
4. '로그인'을 클릭하세요

예상결과:
사용자가 KillerID 프로필에 로그인했습니다.",,27-07-2026 10:21:06,27-07-2026 10:21:42,36.163s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:21:06,27-07-2026 10:21:41,35.145s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:21:41,27-07-2026 10:21:42,0.361s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.568s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User Profile_Admin/C10127(T88209)_도메인 사용자를 관리자로 승격,Chrome 149.0.7827.200,"역할: 관리자

단계:
1. 도메인 사용자 프로필을 엽니다.
2. '사용자 기본 설정' 탭을 클릭하세요.
3. 편집 모드로 들어가세요
4. 'Make as Admin' 체크
5. Save 클릭

예상결과:
사용자 환경설정 탭에서 변경한 내용이 저장됩니다.

도메인 사용자가 관리자로 승격되었습니다.",,27-07-2026 10:21:42,27-07-2026 10:22:47,1m - 5.123s,PASSED
"TARGET_EMAIL = ""demo1@demo.netkillersoft.com""",Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.000s,PASSED
"TARGET_OBJECT = ""a_James demo1""",Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.000s,PASSED
"isAdminBox = findTestObject(""KillerID_user_profile_admin/Page_demo.netkillersoft.com/input_inlineCheckbox3"")",Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.004s,PASSED
"saveBtn = findTestObject(""KillerID_user_profile_admin/Page_demo.netkillersoft.com/button_Save"")",Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.003s,PASSED
baselineCaptured = false,Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.001s,PASSED
baselineWasAdmin = false,Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.000s,PASSED
stateChangedByTest = false,Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.000s,PASSED
mainTestError = null,Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.000s,PASSED
readIsAdminChecked = { -> ... },Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:21:42,0.001s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 10:21:42,27-07-2026 10:22:46,1m - 4.092s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 10:22:46,27-07-2026 10:22:47,0.097s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:22:47,27-07-2026 10:22:47,0.778s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 10:22:47,27-07-2026 10:22:47,0.001s,PASSED
,,,,,,,
